category	text
Negative	Ivrella nijvaglu nam Indian anta ansutte anna yappa istu himse kodtidru tiktok antidaralla yappa nijvaglu ivnella nijvaglu aaisbeku
not-Kannada	I'm full happy bro 🤣🤣 Super Guru  l m full happy bro
Positive	ಎರಡನೆ ಬಾಗ ಅಪ್ಲೋಡ್ ಮಾಡಿ
not-Kannada	I love soga
not-Kannada	Pora rai koodi tulla
Positive	Nam janane istu ond olle fresh song ge support madalla Bari same old tamte song iddiddre 10 million s madiroru
Positive	very nice very very super
Positive	Jai Hind  jai Karnatakan               AndnSuper song bro
Positive	Amazing  song gudluk to alla team ..super vp sir
Negative	Yes sang ok sang
Negative	@Ŕävîñđŕå_02_GøWđřú bro first avnge BOSS spelling kaliyol heli odok asayya agutte
Negative	Gulama movie tarah ondd movie maadu nin hesrru maate kellsutte
Negative	ಹುಚ್ಚ ವೆಂಕಟ್ ಸೇನೆ ಮಂಡ್ಯ
Positive	Beautiful song
Positive	Rakshit  shetty sir super. .
not-Kannada	Don't Post FAKE videos
Positive	Guru super
not-Kannada	Bro I like ur speech
Positive	Super song guru
Positive	Cinema super aagide
Negative	Those 1.2k dislikes are jealous kongas for sure🤣
Positive	Helide guru ninu
unknown state	#KGFCHAPTER2  #KGF2
not-Kannada	Super bgm masth ....
Positive	Super my favorite song
Negative	yella OK iee aroygyake hankaraka bidi yake
not-Kannada	I'm sensing Rango like story
Positive	Abbabba.... Super movie
not-Kannada	Really amazing song.....
Positive	7 jana chiranjeevigalalli avanu obba.
Mixed feelings	Yake Rajkumar families help madilla evrge
not-Kannada	Hindi DE re baba
Mixed feelings	ಕೇಳಿ ಕಾದಿರುವ ಭಾ೦ದವರೇnಭುವಿಯಲ್ಲಿ ಅವನ ಅರಿತವರೆnಯಾರಿಲ್ಲ ಬಿಡಿ ಮುನ್ನುಡಿnಇದ್ದರದೊಂದು ದಂತ ಕಥೆ..nನಾಕು ದಿಕ್ಕಿನಲು ಬೇಕವನುnಬಂದೂಕು ಹಿಡಿದ ಮಾನವನುnತಲೆ ಮೇಲಿದೆ ಕಿರೀಟ..nತೀರ ಹಠ..nಗುರಿ ಬೆನ್ನಟ್ಟೋ ನೇತಾರನು!nnಗಾಳಿ ಮಾತಿನ ಬಜಾರುnಸುದ್ದಿ ಸಾರಿದೆ ಸುಮಾರುnಪಾತ್ರದ ಪರಿಚಯ ಇರೋರುnಆ ಬಂದೂಕಿಗೆ ಇದೆ ಘನ ಹೆಸರುnnಹ್ಯಾಂಡ್ಸ್ ಅಪ್..nಅದು ಅನವರತ!nಹ್ಯಾಂಡ್ಸ್ ಅಪ್..nನಾ ಅಜ್ಞಾತ!nಹ್ಯಾಂಡ್ಸ್ ಅಪ್..nಇದೆ ವೇದಾಂತ..!nnಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ..nnರಂಗೇರಿದೆ ಮಾಯಾ ಜಾಲnಅನುಭವಿಸು ಓ ಪ್ರೇಕ್ಷಕನೇ!nದೃಷ್ಟಿ ನನ್ನೊಬ್ಬನ ಮೇಲಿಡಿnತಪ್ಪದು ನಿಜ ಮನರಂಜನೆ!nನನ್ನ ಗೆಲ್ಬೋದು ಅನ್ನುತnನಿಂದನು ಓರ್ವ ರಾಕ್ಷಸ!nತಪ್ಪಲ್ಲ ಆದರು ಅದುವೇnಊಹೆಗೂ ಮೀರಿದ ಸಾಹಸ!nಅನಿಸುತ್ತೆ..nಬಂದ ಹಾಗಿದೆ ರಚಿಸಲು ಹೊಸದೇ ಶಾಸನ!nಮೆರಯಲಿ ಗಗನದಲಿ ನಿಮ್ಮದೇ ಲಾಂಛನ..nಯುಧ್ಧ ಮಾಡಬೇಕು
Negative	Views tumba kadime ide.
Positive	ರಂಗಿತರಂಗದ ಇತಿಹಾಸ ಮರುಕಳಿಸುವಂತಿದೆ!
not-Kannada	Telugu lyrics super
Mixed feelings	ಸಿನೆಮಾ ವೃತ್ತಿ ನಂಬಿ ಬರಬೇಡಿ
unknown state	@vinay shivamogga **uter
Positive	Nimma mahithi 100% sathya yavaga etharahada rajakaranigalinda deshakke mukthi sigatho aa devarigu kuda gothilla adare next generation avaru sadane madabahudu
unknown state	Rakshit . Rishab
Positive	Edhu  charitreh  surishti suva  awatra.....excellent
not-Kannada	Prajju Boss is Back
Positive	ಪ್ರಜ್ವಲ್ ದೇವರಾಜ್ ಅವರು ಕ್ಲಾಸ್ ಗಿಂತ ಮಾಸ್ ಸೂಪರ್ ಅನ್ನೋರು ಲೈಕ್ ಮಾಡಿ
unknown state	@Thippesh S sikkilla bro
not-Kannada	superrr movie
Positive	ಈ ಕಥೆಯ ಮೂಲಕ ಸಂಸಾರ ಮಾಡೋಕೆ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ. ಸಂಸ್ಕಾರ ಬಹಳ ಮೂಖ್ಯ ರಿ
unknown state	@Kartik GONEPPANAVAR Kartik GONEPPANAVAR fttc
Negative	Yavdu nodtidira adar bagge aste Madi adu bittu avara fan ivara fan ninda all the best anta bogalbedi
Negative	ಯಾಕೋ ತುಲ್ಲೇ ತುಲ್ಲಲ್ಲಿ ಕಡಿತಾ ಇದಿಯಾ ಬೋಳಿಮಗನೇ... ಬಂದ್ರೆ ತುಲ್ಲರೆ ಹಾಕ್ತಿನಿ.... ನಿಮ್ಮ ಅವ್ವುನ್ ತುಲ್ಲಿಗೆ
Positive	Nice d ಬಾಸ್ ಅಭಿಮಾನಿ
Positive	Super d boss fans like
Positive	@Thilak Kumar  e ondu mathu    saku bro    Kannada   industry ge support
not-Kannada	Bro game name plss
not-Kannada	@Shwetha Gowda hi goodmorning
Positive	Nice message bro
Positive	Superb song
Positive	Curiousity thumba jaasthi aagthide bega release maddri
unknown state	Ega ha ashvathama ellidhane
Positive	ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ.....nಅವನೇ ಶ್ರೀ ಮನ್ನಾರಾಯಣ...
Positive	ಮಸ್ತ್ ಇದೆ ಈ ಹಾಡು
Positive	ಈ ಹಾಡು ಕೇಳಲು ತುಂಬ ಚೆನ್ನಾಗಿದೆ
not-Kannada	@Shivananda Kanni rrerworror
Negative	Nange bahala novaytu nannamele yakandre nanu  Diyaa moviena thetoralli nodilla adakke please realise onse again nanu nodtin Mathe janru nodtare please
Positive	Kannada da History  avane srimannarayana
unknown state	@Anil A Sir Making
Positive	Guru same feeling...
Positive	ಬಹಳ ಚನ್ನಾಗಿದೆ ಒಳ್ಳಯ ಸಾಹಿತ್ಯ ಒಳ್ಳಯ ಸಂಗೀತಾ ಕೇಳಲು ತುಂಬಾನೆ ಮಜಾ ಬರುತ್ತೆ. ಶತದೀನೊತ್ಸವ ಆಚರಸಲಿ ಈ ಚಿತ್ರ.
Mixed feelings	Siri song bro
Negative	@Nandi Parthasarathi ಲೆ ನೀನು ಒಳ್ಳೆಅವ್ಳು ಆದ್ರೆ ಸೈಡ್ ಗೇ ಇರು.... ಅದು ಬಿಟ್ಟು ತಿಕಾ ಎಲ್ಲಾ ಮಾತಾಡೋಕೆ ಬಂದ್ರೆ... ಗೊತ್ತಲಾ
Positive	ಚಿತ್ರರಂಗದ ಧನಿಕರು ಎಲ್ಲಿದ್ದಿರ. ನಾಲ್ಕು ಜನ ಸೇರಿದರೆ ಸಾಕು
Negative	@Reginald Kelly ಲೆ ತುಕಾಲಿ ನಿನ್ನ ಸಂಸ್ಕೃತಿ ತೋರಿಸುತ್ತೆ ನಿನ್ನ ಎಷ್ಟು ಕಚಡ ಅಂತ
not-Kannada	Hindi nahi hai kya
Positive	ಕೇಳಿ ಕಾದಿರುವ ಬಾಂಧವರೇnಭುವಿಯಲ್ಲಿ ಅವನ ಅರಿತವರೆnಯಾರಿಲ್ಲ ಬಿಡಿ
Negative	Dboss murkha abhimani galu
Negative	ಬಿಟ್ಟ  ಸ್ಥಳ ತುಂಬಿ __ ಶಟ
Negative	ಶೇಕಡ 100(%) ರಷ್ಟು viruses na China ಉತ್ಪನ್ನ ಮಾಡುತ್ತೆ.....
Negative	ಮೊಬೈಲಲ್ಲಿ ಅಷ್ಟೊಂದ್ ಒಳ್ಳೇ ಕ್ಲಾರಿಟಿಲಿ ಬಿಟ್ಟಿದ್ದಾರೆ. ಎಲ್ರೂ ಡೌನ್‌ಲೋಡ್ ಮಾಡ್ಕೊಂಡ್ ನೋಡ್ತಿದಾರೆ. ಥಿಯೇಟರಿಗೆ ಜನ ಬರದೇ ಇರಲು ಕಾರಣ ಮೊಬೈಲಲ್ಲಿ ಲೀಕ್ ಆಗಿರೋದು.
Negative	@Ŕävîñđŕå_02_GøWđřú ಏನ ನಿಂದು ಮುಕುಳ್ಯ
Positive	ಅದ್ಭುತವಾಗಿದೆ ಚಿತ್ರ ದಿಯಾ
not-Kannada	No words! Awww
Positive	Sir prajakeeya'kke support madi sir daily 30sec adru adra bagge heli start madi sir pls eno help agutte subscriber bahala jana ide
Negative	Kateya kone channagilla
Mixed feelings	Marketing sariyaagi maadrappa istondu olle movie ge ingadre henge very imp marketing
Negative	@TROLL MONSTER_KANNADA nNimma maneli iruva ladies yalrogu nane galuj madiddu.... nInnu ninu yavanige huttidyo papa🤦🤦
Positive	togar I tippana super
Positive	Thriller Movie Andre ee Tara Irbeku
Negative	@Vinay Vn kannadalli helu bro gothagalla english  idu remake a?
not-Kannada	very nice story
Positive	shambhu baligar superr
unknown state	Avnu bandiddre avana video akki
Positive	Awesome song
Positive	ಇನ್ನು ಕೇವಲ 1000 ಮೆಚ್ಚುಗೆಗಳು(ಲೈಕ್)  ಬೇಕಿದೆ.. ಅತಿ ಹೆಚ್ಚು ಮೆಚ್ಚುಗೆಗಳು(ಲೈಕ್)  ಪಡೆದ ಕನ್ನಡ ಚಲನಚಿತ್ರದ ದೃಶ್ಯ ಗೀತೆ (ವೀಡಿಯೊ ಹಾಡು) ಆಗಲು nಯೂಟ್ಯೂಬ್ ನಲ್ಲಿ..  nದಿನಾಂಕ
Negative	Esta adre mele like button ede kodtare bidapa
not-Kannada	I love it
Negative	Jaa Dhinchak Pooja ki songs dekh Bollywoodiya
Mixed feelings	ಎಷ್ಟೇ ಆಗ್ಲೀ ಚಾಮಯ್ಯ ಮೇಷ್ಟ್ರ ಮಗ ಅಲ್ವ...
Positive	Re realise maadenName change maade
Positive	Nev super sir
unknown state	Pwoli saanam my#$...
not-Kannada	superrŕrrrrr  super vice sir
Positive	Yen sakkathagi helidri guru
Positive	ಜೀವನದಲ್ಲಿ ಶ್ರದ್ಧೆ ಮುಖ್ಯ.....  ಶ್ರದ್ಧೆ    ನಮ್ಮನ್ನು ಯಶಸ್ಸಿನ ಬೆನ್ನ ಹತ್ತುತ್ತಿಸುತ್ತದೆ.....
Negative	ನಮ್ಮ ದೇಶದಲ್ಲಿ ಎಣ್ಣೆ ಗೆ. ಇಂಪಾರ್ಟೆಂಟ್ ಕೊಡ್ತಾರೆ..
Mixed feelings	Im fanof rakshit shetty
Mixed feelings	Yenu!¿ Taayganda na neenu? !!
Positive	Every day i am listening
unknown state	Super guru shivumagod@gmail.com
Mixed feelings	@Kumara Kantirava sari bidi navella kannadigare
unknown state	Jai d boss
Mixed feelings	Nijwaglu idare antha nambake agta illaaa
unknown state	S ur ryt
Positive	Super movie guru
Negative	kiran kumar  account number loude ke bal pakad
Positive	Super guru est chennagi arta madisidira
Positive	D Boss abimanigala kadeyinda avne srimannarayana chitrakke all the best
unknown state	U-turn is telugu or tamil movie na..?
Positive	ಪವರ್ ಸ್ಟಾರ್ ಪುನೀತ್ ರಾಜಕುಮಾರ್ ಅಭಿಮಾನಿಗಳಿಂದ all tha best
Positive	ಅಚ್ಯುತಣ್ಣ ಕ್ಯಾರೆಕ್ಟರ್ ಯಾರಿಗೆಲ್ಲ ಇಷ್ಟ ಆಯಿತು........
Positive	Pratvi yen acting guru nimdu
Mixed feelings	Sahitya and sangita eradu super movie blockbuster
Positive	ಕೆ ಜಿ ಎಪ್ ನಂತರ ಮತ್ತೂಂದು ಕನ್ನಡದ  ಹೆಮ್ಮೆ
Positive	ನಿಜವಾಗಿಯೂ ನಿಮ್ಮ ಮಾತು ಸ್ಪೂರ್ತಿ ..ನಿಮಗೆ ಒಳ್ಳೆಯದು ಆಗಲಿ...
Positive	Super heart touching movies. Wonderful beautiful film. ಈ ಚಲನಚಿತ್ರವನ್ನು ಹೇಗೆ ವರ್ಣಿಸಬೇಕು ಅಂತ ಗೊತ್ತಾಗ್ತಿಲ್ಲ. ಪದಗಳೇ ಸಿಗುತ್ತಿಲ್ಲ. ನಾವು ಅಂತು n Waiting dia  chapter 2.
Negative	No.. 1 sec saku summe mnt ella waste madtara
Negative	Yavado yavado hakithira realu videos madi haki elwa edana neja agedre proove madi News Ali haki
Positive	Supr bro aadhh yen kannadaa aaadhh yen punch waaaaa supr bro
Positive	Lyrics Artha adoru Kay kaal aadsrappa
not-Kannada	+RUDRAGOUDA MARIGOUDRA super
Positive	Devru guru neenu nSuper kannada da carry minati
Negative	Those 850 dislikes are Frome rashmika mandanna fans
Positive	Aa hudgi bandaga iro music nice
Positive	Togari tippa all time favorite evergreen
Positive	@funny videos  okay anna naale hogtini 🤣🤣🤣
Mixed feelings	30 M 🤐🤐
Positive	ನಿಮ್ಮ‌ ಈ ಮಾಹಿತಿಗೆ ಧನ್ಯವಾದ ಸರ್.. ನಾವು ಸಾಮಾನ್ಯ ಜನ‌ ಜಸ್ಟ್ ವಿಡಿಯೋ ನೋಡ್ಕೊಂಡು‌ ಇಂಡಿಯಾ ಬಗ್ಗೆ ಯೋಚನೆ‌ ಮಾಡಿದ್ರು ಅದು‌ ಉಪಯೋಗ ಆಗಲ್ಲ ಈ ಮಾಹಿತಿ ಕೆಲವೊಂದು ವರ್ಗದ‌ ಜನರಿಗೆ ಮನಮುಟ್ಟುವಂತೆ ಆಗ್ಬೇಕು‌ ಆಗ ಏನಾದ್ರು ಚೇಂಜ್ ಅಗಬಹುದೆನೋ ಗೊತ್ತಿಲ್ಲ..
Positive	Sir ondu mathu nange thumba esta aithu ಹೂಗಳಿಕೆ ಹೂಟ್ಟೆ ತುಂಬಿಸಲ್ಲ ದುಡಿಮೆ ಹೂಟ್ಟೆ ತುಂಬಿಸತ್ತೆ ನಿಜ ಸರ್
Positive	'ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸುವ ಸಿನಿಮಾ'' ಎಂದು ನಂಬುವವರು ಲೈಕ್ ಮಾಡಿ
Positive	R.N. Laxmi Mahadev Anna.    Thamma.  Janpada.    Super
Positive	ಕನ್ನಡ ಹಾಡು ವಾವ್ ಏನ್ ಸಕ್ಕತ್ತಾಗಿ ಜೈ ಕರ್ನಾಟಕ ಮಾತೆ
Positive	good movie. re realse sir.
Positive	ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಕಮೆಂಟು..
not-Kannada	Love u bro
unknown state	I like u
Positive	ಬೋಡ ಶೀರಾ ಅಭಿಮಾನಗಳು ಇಲ್ಲಿ ಲೈಕ್ ಮಾಡಿ
Negative	@king k ....ಎಲ್ಲಾ ರಾಜಕಾರಣಿಗಳು ಕಳ್ಳರೆ.... ಇದ್ದುದರಲ್ಲಿ ಬಿಜೆಪಿ ಯವರು ಕಡಿಮೆ ಕಳ್ಳರು....
Negative	ಉಗಿ ಕಳ್ಳ ನನ್ ಮಕ್ಲುಗೆ
Positive	Guru namaskara ennu chennagi tale dhengu.sonu Gowda bin*** Gowda evarge ennu tale li brain Ella anusutte
Positive	boss osm
not-Kannada	Hats up karnataka
Positive	ಸೂಪರ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಸರ್
Negative	Loo baccha koura holle avaru
Positive	Super guru Ella record break made madtira guru nivu i love sir
Positive	Super duper..Film    Bust of luck... Prajval Devaraja..... Darling..   Days..
not-Kannada	Is it similar to swag se Salman song.. ??
unknown state	ನಮ್ಮ ಬಾಸ್ ವಿಷ್ಣುವರ್ಧನ್ ಅವರಿಗೆ ಒಂದು ದಿನ ಪರಸ್ಥಿತಿ ಬಂದಿತ್ತು ಅವರ ಚಿತ್ರಗಳ ಸತತವಾಗಿ ಸೋಲುನ್ನು ಕಂಡವು ಮನೆಯಲ್ಲಿ ಹೇಳಿದರಂತೆ ನನಗೆ ಡ್ರೈವಿಂಗ್ ಬರತ್ತೆ ನಾನು ಡ್ರೈವಿಂಗ್ ಬರತ್ತೆ ಡ್ರೈವಿಂರಾಗಿ ಸೇರುತ್ತೇನೆ ಅಂದರು
not-Kannada	supper bro 100%
not-Kannada	Suuuuper D BOSS
Positive	Movie rerelease madi plss
Positive	Love from karnataka
Positive	Nam guru songs always different
Positive	What a song yah
not-Kannada	Bro super bro amazing speech
Positive	Super bro yalka  Tik Tok stars full rost
not-Kannada	What a BGM yar......
Negative	Tamil Vishal dubbing
Positive	sakath dance performance
unknown state	Rocking star Yash fans like here
Mixed feelings	Karab guru nenu nNkn eddu masthu🤗
Positive	ತುಂಬಾ ಒಳ್ಳೆಯ ಮಾಹಿತಿ ನೀಡಿದ್ದೀರಿ ಸರ್ ಧನ್ಯವಾದಗಳು ನಿಮಗೆ
not-Kannada	Super Rakshith shetty sir
unknown state	200 ne like nande
not-Kannada	Hlo bro... Even I uninstalled at stupid app...
Positive	ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ ಸಾರ್
unknown state	@Kumara Kantirava sari nodu
Positive	ಸೂಪರ್ ತೊಗರಿ ತಿಪ್ಪ ....
unknown state	Hindi.  ?
not-Kannada	Appu boss prajwal sir
Positive	ನಮ್ಮ ದರ್ಶನ್ ಸರ್ ಪ್ರೆಸ್ ಮೀಟಲ್ಲಿ ಹೇಳಿದರು ಇಂಥ ಸಿನಿಮಾಗಳನ್ನು ನೋಡಬೇಕು ಅಂತ ಕಂಡಿ ವಾಗಿಯೂ ಸಿನಿಮಾ ನೋಡುತ್ತೇವೆ ದರ್ಶನ ಅಣ್ಣ
unknown state	His gun is like a flair gun
Mixed feelings	Look like a shankarnag
Positive	ಅವನಿಗೆ ಕನ್ನಡ ಭಾಷೆ ಬರುತಿತ್ತ?
Negative	ಪ್ರೇಕ್ಷಕರಲ್ಲಿ  ತಲೆ ಇರುವವರು ಹಾಗೂ ತಲೆ ಇಲ್ಲದವರನ್ನು ಪರೀಕ್ಷೆ ಮಾಡಲು ಆವಾಗಾವಾಗ ಅವನು ಬರ್ತಾನೆ !! ಯಾರು ಅವನು ?
Positive	Hai guru you tube nalli hest hesto video nodidde adre Nim thara yaru rost madilla.supero super ede thara video madtha eri..
Positive	Sir nimna devru yavaglu chenagottirli sir
Positive	@Machi MediaSuper Sir. Nimagu Haagu Namma Sir gu Dussehra Habbada Shubhashayagalu
Positive	ಸೂಪರ್ ಟ್ರೈಲರ್ ಅಲ್ ದಿ ಬೆಸ್ಟ್ ಫ್ರಮ್ ಡಿ ಬಾಸ್ ಫ್ಯಾನ್.  ಜೈ ಡಿ ಬಾಸ್
not-Kannada	Super rakist  setty
unknown state	Onde baari hattu cinema bandre
Mixed feelings	ಸಿನಿಮಾ ನಮ್ಮ ಕಲ್ಪನೆಗೂ ಮೀರಿದೆ ಅದ್ಬುತವಾದ ಪ್ರೀತಿಯ ಲೋಕ ಆದರೆ ಸಿನಿಮಾದ title ಸೆಳೆಯದೆ ಇರುವುದು ಒಂದು ಕಾರಣ..
not-Kannada	Bro super
unknown state	Looks like dboss dancing.... ..from dboss fan...
not-Kannada	Excellent
Positive	Super bro naanu Tik Tok maadtidde aadre adenu nam desha kintluu hechenalla namge nam desh beku adke yella chinaa apps na in install maadidini
Positive	TREND SETTING SONG
not-Kannada	This song is like drink
unknown state	I'mGM million  0pp0.
Negative	ಮುಚ್ಚಲೇ..... ಆ ತುಲುಗು ನವರಿಗೆ ಹುಟ್ಟಿರೋರ್ ಥರ ಯಾವಾಗಲೂ ಸೌಂದರ್ಯ ಸೊಬಗುಲಿ ಅವರದ್ದೆ ಹಾಕಿರುತ್ತಾರೆ..... ರಾಜ್ ಕಮಲ್ ಒಂದ್ರಲ್ಲೆ ಕನ್ನಡ ಹಾಕೋದು....
Negative	Movie nodilla andre nimagu “ HANDS UP !!!!!”
Negative	ಇದು ಹೊಸಬರು ಇದ್ದರೂ. ಪ್ರಸಿದ್ಧ ನಟ ನಟಿಯರು ಕೆಲವರು (ಪೋಷಕ ಪಾತ್ರ ಕ್ಕೆ) ಇರಬೇಕಿತ್ತು. ಒಂದೆರಡು ಸುಮಧುರ ಸಂಗೀತದ ಹಾಡುಗಳು ಇರಬೇಕಿತ್ತು.
Positive	ನಿಮ್ಮ ಅನುಭವದ ಮಾತುಗಳು ನಮಗೆ  ದಾರಿದೀಪಗಳು
Positive	ಇದು ಇದು actually ಚೆನ್ನಾಗಿರೋದು.🤩🤩🤩
Negative	ನಾನು ಇವತ್ತು ಫಿಲ್ಮ್ ನೋಡಿದೆ..ಸೂಪರ್nಸ್ವಲ್ಪ ಸಮಯ ಜಾಸ್ತಿ ಇದೆ...ಆದ್ರೆ..ಗೊತ್ತೇ ಆಗಲ್ಲ...ಯಾವಾಗ ನೀವು watch ನೋಡ್ತಿರೋ ಅವಾಗ ಟೈಂ ನೋಡ್ತಿರೋ...ಆಗ lag ಅಂತ ಅನಿಸ್ತಾದೆ...ಇಲ್ಲಾಂದ್ರೆ 3 hours ಹೋಗೋಡೆ ಗೊತ್ತೇ ಆಗಲ್ಲ
unknown state	Narayana. Character. Yariga  istha. Illi. Like. Madi
not-Kannada	Aldh best for prk fans
not-Kannada	Super drama
Mixed feelings	Avanige savilla adre evagu edana
Negative	Avne Dodda copy
Negative	@Dhee Pu Lo goobe rama. Artha iro hage enadru helodidre helu. Sumne tirukalandi thara koribeda.... Madu annodu kriyapada anta nanagoo gottu. Adre 'madu' annodara jote ondu namapada irbeku. Agle vakya sampoornavagodu. kelasa mdu
unknown state	dilip kumar nanu kuda bro
Positive	Nijawaglu  mai romanchana aaguvantaha video  idu  nija  irabahudu
Positive	Super  creative   guru
unknown state	Only guru randhawa
Negative	Bladey piracy madidara yallaru Alli node status hakidara movie yalli theatre alli yar nodatara first telegram ban madabaku
Negative	Yar guru evlu chaina hudgi naa indian aa gothilla
Negative	ಕಕ್ಕ ಮಾಡ್ಕೊಳ್ಳೋಕೆ ಬಂದ್ ಬಿಟ್ಟಿದ್ದಿಯ  ಇಷ್ಟೆಲ್ಲ ಹೇಳಿಕೂಡ chinaದು use ಮಾಡಲ್ಲ ನಾನ್ ಹೇಳಿರೋದು apps ಬಗ್ಗೆ ಕಣೋ products ಬಗ್ಗೆ ಅಲ್ಲ...ಮಾಡಿರೋ ಕಕ್ಕನ ತೊಳ್ಕೊಂಡು ಮನೆಗೆ ಹೋಗು
unknown state	And Narayan swamy yaru yava uru
Positive	10 dubbing movie barudakkintha 1 e thara movie bandare sakku.
not-Kannada	For Bollywood
Positive	ಇದೆಲ್ಲ ನಿಜಾನೆ ಏಕೆ ಅಂದ್ರೆ ಮಹಾಭಾರತ ನಡೆದಿರುವ ಬಗ್ಗೆ ನಮಗೆ ಗೊತ್ತಿದೆ ಅದರ ಕುರುಹುnಶ್ರೀ ಕೃಷ್ಣನ ಹೃದಯ ಈಗಲೂ ಪೂರಿ ಜಗನ್ನಾಥ್ ದೇವಸ್ಥನದಲ್ಲಿ ಜೀವಂತವಾಗಿ ಇರುವುದುn ನಮ್ಮ  ಕೆಲವು ರಾಜಕಾಿಣಿಗಳು taxnಹಣ ದೋಚುವ ಬಗ್ಗೆ ಹೆಚ್ಚಿನ ಆಸಕ್ತಿಯನ್ನು ಹೊಂದಿರುತ್ತಾರೆ. ಆದ್ದರಿಂದ ಇಂತಹ ಅನೇಕ ವಿಚಾರಗಳು ಯಾರಿಗೂ ತಿಳಿದಿಲ್ಲ
